country,site,year,date,gear,inside_area,species,length_cm,count
Indonesia,Karimunjawa National Park,2003,5/13/03,Trap,Inside,Caesio cuning,30.865,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Scarus ghobban,33.026,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Scarus ghobban,27.331,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,24.247,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,23.196,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,33.245,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,38.622,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,31.117,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,31.218,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,22.923,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Scarus ghobban,28.254,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Plectropomus areolatus,26.22,1
Indonesia,Karimunjawa National Park,2003,5/14/03,Trap,Inside,Caesio cuning,26.74,1
Indonesia,Karimunjawa National Park,2003,5/15/03,Trap,Inside,Caesio cuning,26.362,1
Indonesia,Karimunjawa National Park,2003,5/15/03,Trap,Inside,Caesio cuning,32.079,1
Indonesia,Karimunjawa National Park,2003,5/15/03,Trap,Inside,Caesio cuning,33.145,1
Indonesia,Karimunjawa National Park,2003,5/15/03,Trap,Inside,Caesio cuning,32.071,1
Indonesia,Karimunjawa National Park,2003,5/15/03,Trap,Inside,Plectropomus oligacanthus,51.752,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,35.886,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,31.524,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,31.25,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,27.353,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,28.283,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,26.006,1
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,29.564,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,23.075,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,20.294,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.72,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,33.523,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,20.381,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,24.934,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.163,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,32.164,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,19.328,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.597,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,24.377,1
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,32.975,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Gillnet,Outside,Caesio cuning,34.09,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,30.269,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,29.368,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,25.394,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,25.944,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Scarus ghobban,39.259,1
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Scarus ghobban,36.032,1
Indonesia,Karimunjawa National Park,2003,5/20/03,Speargun,Outside,Bolbometopon muricatum,50.686,1
Indonesia,Karimunjawa National Park,2003,5/20/03,Gillnet,Inside,Scarus ghobban,13.378,1
Indonesia,Karimunjawa National Park,2003,5/21/03,Gillnet,Outside,Caesio cuning,26.498,1
Indonesia,Karimunjawa National Park,2003,5/21/03,Gillnet,Outside,Caesio cuning,22.022,1
Indonesia,Karimunjawa National Park,2003,5/21/03,Speargun,Outside,Scarus ghobban,29.141,1
Indonesia,Karimunjawa National Park,2003,5/21/03,Speargun,Outside,Bolbometopon muricatum,77.714,1
Indonesia,Karimunjawa National Park,2003,5/21/03,Trap,Outside,Caesio cuning,29.32,1
