Country,Species,Common,Code,L_inf,k,t0,M,Wa,Wb,m50,m95
Mozambique,Siganus sutor,Shoemaker spinefoot,SIGASU,43.28,0.648,-0.379,0.631,0.0328,2.719,20.2,23.028
Mozambique,Parupeneus heptacanthus,Cinnabar goatfish,PARUHE,44.4,0.21,-0.72,0.51,0.0169,3.07802,25.2,28.727999999999998
Mozambique,Scomber japonicus,Chub mackerel,SCOMJA,68.01,0.27,-0.9845,0.57,0.0049,3.3112,42,47.879999999999995
Mozambique,Acanthurus dussimieri,Eyestripe surgeonfish,ACANDU,30.767,0.296,-0.29,0.64,0.0426,2.868,23.2,26.447999999999997
Mozambique,Polysteganus coeruleopunctatus,Blueskin seabream,POLYCO,35.79,0.202,-2.24,0.268,0.0303,2.568,22.7,25.877999999999997
Mozambique,Amblygaster sirm,Spotted sardinella,AMBLSI,22.15,1.58,-0.003,2.9,0.004632606657476798,3.123,16.5,18.81
Mozambique,Bohadschia marmorata,Brown sandfish,BOHAMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,Holothuria fuscogilva,White teatfish,HOLOFU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,Holothuria scabra,Golden Sandfish,HOLOSC,NaN,NaN,NaN,NaN,NaN,NaN,16.8,23
Mozambique,Panulirus homarus,Scalloped spiny lobster,PANUHO,12.89,0.33,-0.35,0.74,0.18,2.7733,6.34,7.227599999999999
Mozambique,Perna perna,Brown mussel,PERNPE,NaN,NaN,NaN,NaN,NaN,NaN,3,3.42
Mozambique,Saccostrea cucullata,Hooded oyster,SACCCU,NaN,NaN,NaN,NaN,NaN,NaN,2.9,3.3059999999999996
Mozambique,Octopus vulgaris,Common Octopus,OCTOVU,28.3,1.122,0.008,2.5604549,0.3992,2.9246,11.5,13.11
Mozambique,Terebralia palustris,Giant mangrove whelk,TEREPA,NaN,NaN,NaN,NaN,NaN,NaN,2.9,3.3059999999999996
Mozambique,Scylla serrata,Giant mudcrab,SCYLSE,31,0.57,-0.019,0.5276327420823718,0.5083092766781421,2.56,12,13.68
Mozambique,Penaeus indicus,Indian white prawn,PENAIN,22.305,1.9,-0.031450000000000006,3.0999999999999996,41.45856877280316,4.1641,12.84515622572447,14.643478097325895
Mozambique,Penaeus monodon,Giant tiger prawn,PENAMO,26.8,1.5,0.056,1.9449999999999998,6.027740668775489,3.0027,18.1,20.634
Mozambique,Loligo spp,Common squid,LOLISP,NaN,NaN,NaN,NaN,NaN,NaN,18.166666666666664,20.709999999999997
Mozambique,Mactra cuneata,Wedge Trough Shell,MACTCU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,Panulirus penicillatus,Pronghorn Spiny Lobster,PANUPE,15.950000000000001,0.29000000000000004,-0.85,0.25,0.14400000000000002,2.745,5.75,6.555
