Year,site,Management Type,access,transect,Reserve,Biomass
2005,Kumbang 3,Core Zone,No Take Zone,2,1,5.903638066
2005,Legon Janten,Core Zone,No Take Zone,1,1,10.87810891
2005,Legon Janten,Core Zone,No Take Zone,2,1,7.954859616
2005,Legon Moto,Core Zone,No Take Zone,1,1,11.62906015
2005,Legon Moto,Core Zone,No Take Zone,2,1,9.76504079
2005,Taka Malang E,Core Zone,No Take Zone,1,1,9.35298916
2005,Taka Malang E,Core Zone,No Take Zone,2,1,7.353010111
2005,Taka Malang W,Core Zone,No Take Zone,1,1,13.99606978
2005,Taka Malang W,Core Zone,No Take Zone,2,1,9.554863296
2005,Taka Menyawakan E,Core Zone,No Take Zone,1,1,7.985838596
2005,Taka Menyawakan E,Core Zone,No Take Zone,2,1,49.70097417
2005,Taka Menyawakan W,Core Zone,No Take Zone,1,1,20.59050064
2005,Taka Menyawakan W,Core Zone,No Take Zone,2,1,24.66183111
2005,Tanjung Dua,Core Zone,No Take Zone,1,1,9.682812244
2005,Tanjung Dua,Core Zone,No Take Zone,2,1,15.22124463
2005,Tanjung Sekoci,Core Zone,No Take Zone,1,1,16.5807391
2005,Tanjung Sekoci,Core Zone,No Take Zone,2,1,5.757507924
2006,Kumbang 1,Core Zone,No Take Zone,1,1,13.28614351
2006,Kumbang 1,Core Zone,No Take Zone,2,1,10.60660759
2006,Kumbang 2,Core Zone,No Take Zone,1,1,21.93603085
2006,Kumbang 2,Core Zone,No Take Zone,2,1,10.7496071
2006,Kumbang 3,Core Zone,No Take Zone,1,1,11.661277
2006,Kumbang 3,Core Zone,No Take Zone,2,1,10.58768132
2006,Legon Janten,Core Zone,No Take Zone,1,1,7.591945225
2006,Legon Janten,Core Zone,No Take Zone,2,1,6.514836118
2006,Legon Moto,Core Zone,No Take Zone,1,1,8.304515024
2006,Legon Moto,Core Zone,No Take Zone,2,1,8.297822941
2006,Taka Malang E,Core Zone,No Take Zone,1,1,6.619833615
2006,Taka Malang E,Core Zone,No Take Zone,2,1,5.919182823
2006,Taka Malang W,Core Zone,No Take Zone,1,1,11.52428153
2006,Taka Malang W,Core Zone,No Take Zone,2,1,9.286298865
2006,Taka Menyawakan E,Core Zone,No Take Zone,1,1,19.67500559
2006,Taka Menyawakan E,Core Zone,No Take Zone,2,1,8.822445306
2006,Taka Menyawakan W,Core Zone,No Take Zone,1,1,27.13939497
2006,Taka Menyawakan W,Core Zone,No Take Zone,2,1,30.18309335
2006,Tanjung Dua,Core Zone,No Take Zone,1,1,18.6015868
2006,Tanjung Dua,Core Zone,No Take Zone,2,1,7.436073794
2006,Tanjung Sekoci,Core Zone,No Take Zone,1,1,30.95699373
2006,Tanjung Sekoci,Core Zone,No Take Zone,2,1,9.239353079
2007,Kumbang 1,Core Zone,No Take Zone,1,1,8.628729327
2007,Kumbang 1,Core Zone,No Take Zone,2,1,5.804635608
2007,Kumbang 2,Core Zone,No Take Zone,1,1,5.875598935
2007,Kumbang 2,Core Zone,No Take Zone,2,1,7.246926354
2007,Kumbang 3,Core Zone,No Take Zone,1,1,8.835032005
2007,Kumbang 3,Core Zone,No Take Zone,2,1,18.27914753
2007,Legon Janten,Core Zone,No Take Zone,1,1,11.59142426
2007,Legon Janten,Core Zone,No Take Zone,2,1,7.606326588
2007,Legon Moto,Core Zone,No Take Zone,1,1,11.99191087
2007,Legon Moto,Core Zone,No Take Zone,2,1,14.98994402
2007,Taka Malang E,Core Zone,No Take Zone,1,1,6.729204681
2007,Taka Malang E,Core Zone,No Take Zone,2,1,6.445025949
2007,Taka Malang W,Core Zone,No Take Zone,1,1,12.73763466
2007,Taka Malang W,Core Zone,No Take Zone,2,1,8.713621407
2007,Taka Menyawakan E,Core Zone,No Take Zone,1,1,2.241070444
2007,Taka Menyawakan E,Core Zone,No Take Zone,2,1,4.799928929
2007,Taka Menyawakan W,Core Zone,No Take Zone,1,1,21.7087699
2007,Taka Menyawakan W,Core Zone,No Take Zone,2,1,21.29847582
2007,Tanjung Dua,Core Zone,No Take Zone,1,1,7.750664507
2007,Tanjung Dua,Core Zone,No Take Zone,2,1,8.768833712
2007,Tanjung Sekoci,Core Zone,No Take Zone,1,1,17.74365857
2007,Tanjung Sekoci,Core Zone,No Take Zone,2,1,10.4679828
2009,Kumbang 1,Core Zone,No Take Zone,1,1,10.76306267
2009,Kumbang 1,Core Zone,No Take Zone,2,1,6.201882481
2009,Kumbang 1,Core Zone,No Take Zone,3,1,6.207490259
2009,Kumbang 1,Core Zone,No Take Zone,4,1,5.181283425
2009,Kumbang 2,Core Zone,No Take Zone,1,1,12.92315325
2009,Kumbang 2,Core Zone,No Take Zone,2,1,6.896224854
