site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Scarus sp,22.5,63.2
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Epinephelus ongus,3.0,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Caesio cuning,13.0,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Caesio cuning,2.0,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Anyperodon leucogrammicus,4.0,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Scarus sp,4.5,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Scarus sp,9.5,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Plectropomus areolatus,3.6,NA
Test_FF_Site,2009,32,8,2009_32,Speargun,Inside,Plectropomus areolatus,1.1,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Caesio cuning,74.5,97.9
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Epinephelus ongus,5.0,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Bolbometopon muricatum,3.0,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Plectorhinchus chaetodonoides,0.6,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Scarus sp,13.0,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Plectropomus oligacanthus,1.3,NA
Test_FF_Site,2009,33,8,2009_33,Speargun,Inside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,34,8,2009_34,Handline,Inside,Scomberomorus commerson,8.9,10.9
Test_FF_Site,2009,34,8,2009_34,Handline,Inside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,34,8,2009_34,Handline,Inside,Sphyraena barracuda,1.5,NA
Test_FF_Site,2009,35,8,2009_35,Muroami,Outside,Caesio cuning,144.0,362
Test_FF_Site,2009,35,8,2009_35,Muroami,Outside,Pterocaesio lativittata,70.0,NA
Test_FF_Site,2009,35,8,2009_35,Muroami,Outside,Caesio caerulaurea,48.0,NA
Test_FF_Site,2009,35,8,2009_35,Muroami,Outside,Platax teira,50.0,NA
Test_FF_Site,2009,35,8,2009_35,Muroami,Outside,Sphyraena barracuda,50.0,NA
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Plectropomus maculatus,2.7,11.4
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Carcharhinus sp,3.0,NA
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Epinephelus fuscoguttatus,0.6,NA
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Scomberomorus commerson,3.7,NA
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Sphyraena barracuda,0.7,NA
Test_FF_Site,2009,36,8,2009_36,Handline,Inside,Epinephelus fuscoguttatus,0.7,NA
Test_FF_Site,2009,37,8,2009_37,Handline,Inside,Euthynnus affinis,4.5,5.5
Test_FF_Site,2009,37,8,2009_37,Handline,Inside,Thunus tonggol,1.0,NA
Test_FF_Site,2009,38,8,2009_38,Handline,Inside,Plectropomus oligacanthus,1.5,1.5
Test_FF_Site,2009,39,8,2009_39,Handline,Inside,Plectropomus areolatus,2.0,2
Test_FF_Site,2009,40,8,2009_40,Handline,Inside,Plectropomus leopardus,1.2,5.2
Test_FF_Site,2009,40,8,2009_40,Handline,Inside,Epinephelus fuscoguttatus,4.0,NA
Test_FF_Site,2009,41,8,2009_41,Speargun,Inside,Caesio cuning,50.0,83.5
Test_FF_Site,2009,41,8,2009_41,Speargun,Inside,Caesio cuning,30.0,NA
Test_FF_Site,2009,41,8,2009_41,Speargun,Inside,Plectropomus areolatus,1.5,NA
Test_FF_Site,2009,41,8,2009_41,Speargun,Inside,Cephalopholis cyanostigma,2.0,NA
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Caesio cuning,30.0,42.3
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Plectropomus areolatus,1.0,NA
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Plectropomus oligacanthus,0.6,NA
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Plectropomus leopardus,1.1,NA
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Platax teira,8.5,NA
Test_FF_Site,2009,42,8,2009_42,Speargun,Inside,Plectropomus oligacanthus,1.1,NA
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Caesio caerulaurea,14.0,58.4
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Caesio cuning,3.0,NA
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Caesio cuning,32.0,NA
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Plectorhinchus chaetodonoides,2.4,NA
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Scarus sp,5.0,NA
