site,year,date,permanent_trip_id,gear,inside_area,fishing_ground,landing_site,species,sampled_catch,total_catch,length_cm,days,personDays,fisher_days.x,fisher_days.y,fisher_days.x.x,fisher_days.y.y,fisher_days
FF_Site1,2003,5/5/03,2003_24,Trap,Inside,Kembar,Parang,Caesio cuning,NA,1.746858488,27.474,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_27,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,15.6,85.675,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_28,Gillnet,Inside,Western Nyamuk,Parang,Bolbometopon muricatum,NA,35,80.97,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_28,Gillnet,Inside,Western Nyamuk,Parang,Bolbometopon muricatum,NA,35,52.265,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_30,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,9.678882947,49.386,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_30,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,9.678882947,56.913,1,2,2,2,2,2,2
FF_Site1,2003,5/6/03,2003_30,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,9.678882947,54.739,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_31,Gillnet,Inside,Kembar,Parang,Caesio cuning,NA,11.8,35.357,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_32,Trap,Inside,Gosong Selikur,Parang,Caesio cuning,NA,6,27.328,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_32,Trap,Inside,Gosong Selikur,Parang,Scarus ghobban,NA,6,30.539,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_32,Trap,Inside,Gosong Selikur,Parang,Scarus ghobban,NA,6,37.639,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_33,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,25.7,47.222,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_33,Gillnet,Inside,Western Parang,Parang,Plectropomus oligacanthus,NA,25.7,32.973,1,2,2,2,2,2,2
FF_Site1,2003,5/7/03,2003_33,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,25.7,57.553,1,2,2,2,2,2,2
FF_Site1,2003,5/8/03,2003_36,Trap,Inside,Kembar,Parang,Caesio cuning,NA,7.1,31.753,1,2,2,2,2,2,2
FF_Site1,2003,5/8/03,2003_36,Trap,Inside,Kembar,Parang,Caesio cuning,NA,7.1,33.118,1,2,2,2,2,2,2
FF_Site1,2003,5/8/03,2003_36,Trap,Inside,Kembar,Parang,Caesio cuning,NA,7.1,26.298,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_39,Trap,Inside,Kembar,Parang,Caesio cuning,NA,3.076175556,23.861,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_39,Trap,Inside,Kembar,Parang,Caesio cuning,NA,3.076175556,24.155,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_39,Trap,Inside,Kembar,Parang,Caesio cuning,NA,3.076175556,22.879,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_39,Trap,Inside,Kembar,Parang,Caesio cuning,NA,3.076175556,23.457,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_39,Trap,Inside,Kembar,Parang,Caesio cuning,NA,3.076175556,21.958,1,2,2,2,2,2,2
FF_Site1,2003,5/11/03,2003_40,Handline,Inside,Western Nyamuk,Parang,Caesio cuning,NA,0.7,30.665,1,1,1,1,1,1,1
FF_Site1,2003,5/11/03,2003_42,Handline,Inside,Eastern Nyamuk,Parang,Scarus ghobban,NA,1.639305698,19.473,1,1,1,1,1,1,1
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,22.896,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,26.928,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,25.597,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,26.083,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,22.55,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,23.239,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,23.798,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Caesio cuning,NA,20.2,24.303,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Katang,Parang,Scarus ghobban,NA,20.2,27.872,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,36.71,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,35.07,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Scarus ghobban,NA,20.2,38.441,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Scarus ghobban,NA,20.2,26.02,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,33.149,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,36.833,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,29.757,1,2,2,2,2,2,2
FF_Site1,2003,5/12/03,2003_43,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,20.2,37.789,1,2,2,2,2,2,2
FF_Site1,2003,5/13/03,2003_45,Trap,Inside,Cemara Besar,Parang,Caesio cuning,NA,2.031883975,28.72,1,2,2,2,2,2,2
FF_Site1,2003,5/13/03,2003_45,Trap,Inside,Cemara Besar,Parang,Caesio cuning,NA,2.031883975,27.351,1,2,2,2,2,2,2
FF_Site1,2003,5/13/03,2003_45,Trap,Inside,Cemara Besar,Parang,Caesio cuning,NA,2.031883975,32.292,1,2,2,2,2,2,2
FF_Site1,2003,5/13/03,2003_45,Trap,Inside,Cemara Besar,Parang,Caesio cuning,NA,2.031883975,34.398,1,2,2,2,2,2,2
FF_Site1,2003,5/13/03,2003_45,Trap,Inside,Cemara Besar,Parang,Caesio cuning,NA,2.031883975,30.865,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Scarus ghobban,NA,11.25,33.026,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Scarus ghobban,NA,11.25,27.331,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,24.247,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,23.196,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,33.245,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,38.622,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,31.117,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,31.218,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Caesio cuning,NA,11.25,22.923,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Scarus ghobban,NA,11.25,28.254,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_46,Trap,Inside,Krakal,Parang,Plectropomus areolatus,NA,11.25,26.22,1,2,2,2,2,2,2
FF_Site1,2003,5/14/03,2003_49,Trap,Inside,Multiple Sites,Parang,Caesio cuning,NA,5.8,26.74,1,2,2,2,2,2,2
FF_Site1,2003,5/15/03,2003_50,Trap,Inside,Katang,Parang,Caesio cuning,NA,10,26.362,1,2,2,2,2,2,2
FF_Site1,2003,5/15/03,2003_50,Trap,Inside,Katang,Parang,Caesio cuning,NA,10,32.079,1,2,2,2,2,2,2
FF_Site1,2003,5/15/03,2003_50,Trap,Inside,Katang,Parang,Caesio cuning,NA,10,33.145,1,2,2,2,2,2,2
FF_Site1,2003,5/15/03,2003_50,Trap,Inside,Katang,Parang,Caesio cuning,NA,10,32.071,1,2,2,2,2,2,2
FF_Site1,2003,5/15/03,2003_50,Trap,Inside,Katang,Parang,Plectropomus oligacanthus,NA,10,51.752,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,35.886,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,31.524,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,31.25,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,27.353,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,28.283,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,26.006,1,2,2,2,2,2,2
FF_Site1,2003,5/16/03,2003_51,Trap,Inside,Western Nyamuk,Parang,Caesio cuning,NA,2.672646226,29.564,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,23.075,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,20.294,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,21.72,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,33.523,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,20.381,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,24.934,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,21.163,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,32.164,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,19.328,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,21.597,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,24.377,1,2,2,2,2,2,2
FF_Site1,2003,5/18/03,2003_52,Gillnet,Inside,Eastern Karimunjawa,Karimunjawa,Caesio cuning,NA,10.7,32.975,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_53,Gillnet,Outside,Sambangan,Karimunjawa,Caesio cuning,NA,5.3,34.09,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Caesio cuning,NA,4,30.269,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Caesio cuning,NA,4,29.368,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Caesio cuning,NA,4,25.394,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Caesio cuning,NA,4,25.944,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Scarus ghobban,NA,4,39.259,1,2,2,2,2,2,2
FF_Site1,2003,5/19/03,2003_55,Trap,Inside,Eastern Kemujan,Kemujan,Scarus ghobban,NA,4,36.032,1,2,2,2,2,2,2
FF_Site1,2003,5/20/03,2003_58,Speargun,Outside,Eastern Genting,Karimunjawa,Bolbometopon muricatum,NA,9.4,50.686,1,2,2,2,2,2,2
FF_Site1,2003,5/20/03,2003_61,Gillnet,Inside,Batu Lawang,Kemujan,Scarus ghobban,NA,2.1,13.378,1,2,2,2,2,2,2
FF_Site1,2003,5/21/03,2003_63,Gillnet,Outside,Seruni,Karimunjawa,Caesio cuning,NA,4.7,26.498,1,2,2,2,2,2,2
FF_Site1,2003,5/21/03,2003_63,Gillnet,Outside,Seruni,Karimunjawa,Caesio cuning,NA,4.7,22.022,1,2,2,2,2,2,2
FF_Site1,2003,5/21/03,2003_64,Speargun,Outside,Eastern Genting,Karimunjawa,Scarus ghobban,NA,30,29.141,1,2,2,2,2,2,2
FF_Site1,2003,5/21/03,2003_64,Speargun,Outside,Eastern Genting,Karimunjawa,Bolbometopon muricatum,NA,30,77.714,1,2,2,2,2,2,2
FF_Site1,2003,5/21/03,2003_65,Trap,Outside,Eastern Genting,Karimunjawa,Caesio cuning,NA,30.4,29.32,1,2,2,2,2,2,2
FF_Site1,2003,5/23/03,2003_72,Gillnet,Outside,Western Genting,Karimunjawa,Scarus ghobban,NA,2.5,34.023,1,2,2,2,2,2,2
FF_Site1,2003,5/25/03,2003_80,Muroami,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,62,29.091,1,18,18,18,18,18,18
FF_Site1,2003,9/6/03,2003_81,Muroami,Inside,Menjangan Kecil,Karimunjawa,Caesio cuning,NA,256,22.841,1,18,18,18,18,18,18
FF_Site1,2003,9/6/03,2003_81,Muroami,Inside,Menjangan Kecil,Karimunjawa,Caesio cuning,NA,256,28.005,1,18,18,18,18,18,18
FF_Site1,2003,9/6/03,2003_81,Muroami,Inside,Menjangan Kecil,Karimunjawa,Caesio cuning,NA,256,23.331,1,18,18,18,18,18,18
FF_Site1,2003,9/6/03,2003_81,Muroami,Inside,Menjangan Kecil,Karimunjawa,Caesio cuning,NA,256,26.582,1,18,18,18,18,18,18
